latitude,longitude,country_id
40.495982,-79.866598,USA
43.427404,-80.372275,CAN
-22.848037,-47.153369,BRA
-23.192211,-46.973601,BRA
19.250604,-99.097098,MEX
-33.346910,-70.699761,CHL
-23.490168,-46.775907,BRA
-22.812328,-47.212871,BRA
-22.824412,-47.270779,BRA
-23.070262,-47.012389,BRA
45.901152,12.334138,ITA
45.855257,12.272665,ITA
35.736690,51.396609,IRN
35.744724,51.375253,IRN
22.213364,114.205080,HKG
53.394176,-1.437902,GBR
60.589073,5.826501,NOR
54.951766,-1.552164,GBR
61.449954,21.840690,FIN
43.208359,5.608743,FRA
40.465283,-79.946724,USA
58.897598,5.686696,NOR
59.399361,6.153764,NOR
53.124308,18.028621,POL
53.431685,14.541453,POL
20.655111,-103.400387,MEX
30.674773,-88.118332,USA
59.352659,27.413353,EST
59.856246,10.476294,NOR
43.217445,2.345605,FRA
36.712876,-82.802460,USA
46.237031,-63.128158,CAN
38.505266,-82.681044,USA
33.690049,-84.511118,USA
50.639943,3.145946,FRA
35.733893,51.435048,IRN
-19.942833,-44.011552,BRA
33.730076,-84.421266,USA
33.558856,-85.089087,USA
38.993881,-77.027721,USA
40.761640,-74.025877,USA
28.616612,-81.390955,USA
56.969124,24.162447,LVA
46.355476,-119.308922,USA
53.027046,-2.530457,GBR
51.195040,6.929379,DEU
48.728453,9.119104,DEU
53.678625,10.270490,DEU
53.781514,-1.578134,GBR
51.058578,7.020039,DEU
38.723472,-9.232686,PRT
53.476918,-2.308577,GBR
48.775027,9.176196,DEU
48.675710,8.967384,DEU
45.929424,-112.519507,USA
48.146227,-103.774395,USA
52.236525,21.116902,POL
52.210085,20.778212,POL
45.475831,-122.776417,USA
55.836102,8.662712,DNK
60.197355,24.940980,FIN
60.205412,24.768762,FIN
65.679712,-18.133032,ISL
63.187063,17.081452,SWE
55.759430,48.754461,RUS
60.099116,30.260255,RUS
51.213086,-1.479222,GBR
51.482177,5.402572,NLD
52.467826,-1.723189,GBR
34.176088,-80.972596,USA
49.482595,10.964421,DEU
48.827359,1.980911,FRA
52.382085,-1.982549,GBR
48.091112,11.652140,DEU
33.421308,-111.858885,USA
37.480500,-122.200085,USA
40.767148,-73.990884,USA
37.660002,-122.096922,USA
25.773802,-80.325217,USA
35.655657,139.807403,JPN
35.627032,139.747304,JPN
35.675945,139.470110,JPN
40.782548,-74.071071,USA
32.601000,-85.513291,USA
41.586625,-93.626183,USA
48.821109,2.380743,FRA
46.806797,-100.720640,USA
35.199592,-82.871971,USA
59.301415,18.086123,SWE
59.283923,17.925994,SWE
38.018201,-77.490175,USA
38.012556,-121.909806,USA
45.476495,9.100307,ITA
35.898263,-5.327072,ESP
41.429493,2.232093,ESP
33.704862,-84.939735,USA
46.986245,28.889017,MDA
44.632611,-90.168593,USA
43.151360,-88.009606,USA
42.555492,-83.149520,USA
37.977526,-77.953450,USA
38.411354,-77.404796,USA
38.815533,-77.651438,USA
45.495857,11.430212,ITA
37.413486,-6.067111,ESP
42.009404,-87.886328,USA
50.884478,4.452436,BEL
37.642023,-120.999567,USA
36.752887,3.042048,DZA
40.380475,49.832651,AZE
48.442102,0.091874,FRA
48.831937,2.638783,FRA
43.610276,7.076257,FRA
50.540733,2.656453,FRA
45.768921,5.016502,FRA
-23.464880,-46.861127,BRA
39.287722,-76.610173,USA
55.916529,23.303916,LTU
48.550787,7.970994,DEU
48.362256,7.816990,DEU
48.784091,8.185647,DEU
48.236445,2.704732,FRA
59.339433,18.100256,SWE
59.402120,17.954867,SWE
55.600102,13.003011,SWE
59.341538,18.051341,SWE
37.860610,113.622733,CHN
47.545712,7.591418,CHE
40.660163,22.864148,GRC
44.923093,-91.848715,USA
35.350109,-83.208457,USA
53.407774,-2.991366,GBR
53.395910,-2.983050,GBR
54.724956,25.298091,LTU
39.426995,-76.811450,USA
39.275278,-76.626248,USA
54.678970,25.268976,LTU
46.027178,8.918345,CHE
46.091546,9.062305,CHE
13.663387,100.651562,THA
45.931404,8.976924,CHE
5.542304,-0.206409,GHA
31.351767,121.496684,CHN
10.639538,-61.463827,TTO
41.408959,2.170111,ESP
43.888827,-79.389638,CAN
44.337946,-79.669631,CAN
32.351183,-95.307318,USA
59.926420,10.941817,NOR
3.088800,101.576969,MYS
26.218006,50.562388,BHR
42.317300,-85.181047,USA
41.208478,-81.638825,USA
45.090284,7.664263,ITA
-6.920314,107.615234,IDN
52.485617,16.849274,POL
49.637715,6.161821,LUX
50.393396,-104.566488,CAN
-29.733002,31.065897,ZAF
-25.976879,28.126890,ZAF
13.669038,100.629866,THA
1.698069,103.413636,MYS
-6.159124,106.690237,IDN
-6.250682,106.865296,IDN
23.205710,113.563910,CHN
-6.326341,106.805590,IDN
-6.529697,107.415402,IDN
-6.185104,106.822537,IDN
-6.338112,106.677825,IDN
31.929920,118.905700,CHN
51.005105,-113.808465,CAN
50.586806,-113.820765,CAN
53.488638,-114.337010,CAN
53.765332,-113.092102,CAN
50.950657,-113.807310,CAN
45.213929,-66.163806,CAN
53.307842,-113.502143,CAN
43.508689,-88.814398,USA
42.928233,-71.463933,USA
43.708424,-79.358245,CAN
44.797880,20.452791,SRB
39.908066,116.362005,CHN
39.906405,116.409353,CHN
39.781782,116.491190,CHN
50.678680,-120.380725,CAN
47.581919,-122.134954,USA
53.900962,27.585251,BLR
50.488568,30.478913,UKR
50.430302,30.503458,UKR
-36.776173,144.304866,AUS
10.022082,76.302989,IND
45.673260,9.676250,ITA
57.715722,12.925842,SWE
35.721206,51.357440,IRN
51.161519,16.901448,POL
30.308348,-97.828986,USA
29.502918,-98.556928,USA
52.400704,16.927893,POL
52.378203,16.976870,POL
40.214114,-111.655353,USA
57.729915,12.011015,SWE
50.121142,8.940565,DEU
44.865395,-93.467952,USA
-20.245083,57.491855,MUS
27.427707,89.650989,BTN
19.751817,-79.758033,CYM
19.320811,-81.377177,CYM
-6.231599,106.827597,IDN
-6.117561,106.171704,IDN
45.621276,13.803651,ITA
51.989855,8.622519,DEU
32.221548,34.873228,ISR
48.769463,2.227633,FRA
35.088135,-106.651706,USA
32.048483,34.765515,ISR
45.768320,-108.541467,USA
65.740500,24.588822,FIN
65.690377,24.619665,FIN
41.091170,16.779268,ITA
40.812174,-96.701606,USA
59.515007,18.077030,SWE
43.742282,-79.284193,CAN
52.028018,5.624163,NLD
39.702815,-80.849499,USA
54.450691,-117.064980,CAN
26.935141,89.509261,BTN
26.927716,90.378793,BTN
35.942051,-83.835290,USA
40.770873,-81.539723,USA
62.862625,7.108732,NOR
41.166462,-80.746675,USA
9.013710,38.510402,ETH
30.570258,-97.075972,USA
63.031686,11.686887,NOR
47.412375,-120.198791,USA
52.009064,8.564191,DEU
51.919823,8.398181,DEU
45.403408,-71.974839,CAN
45.201087,-72.763260,CAN
45.286859,-72.966011,CAN
45.272076,-72.132317,CAN
40.856178,-75.877248,USA
-33.163721,-64.365569,ARG
41.268925,-79.811326,USA
45.627526,-72.970276,CAN
-25.798433,-56.434929,PRY
47.493543,-122.291309,USA
14.640247,120.982539,PHL
16.078332,120.345269,PHL
64.713969,12.830113,NOR
48.589447,-98.356685,USA
61.245155,22.325900,FIN
-6.197515,106.830410,IDN
-8.787268,115.141475,IDN
-6.435178,106.897188,IDN
32.641751,-97.264383,USA
29.266378,-98.569906,USA
52.842651,-6.936900,IRL
52.346324,-113.775576,CAN
59.942412,10.883150,NOR
59.911304,10.751288,NOR
43.083118,-79.003094,USA
37.078651,136.756602,JPN
37.231200,-93.212578,USA
41.505951,-81.467316,USA
41.500265,-81.681332,USA
35.692329,139.697342,JPN
52.126559,-0.422230,GBR
61.440878,7.250118,NOR
38.050278,-84.497490,USA
40.609811,-74.710936,USA
41.047567,-74.007225,USA
12.177786,-68.955187,CUW
30.584658,-97.674825,USA
30.567340,-97.387602,USA
52.531473,13.510949,DEU
39.729210,-111.838923,USA
37.650311,-104.801307,USA
41.107382,-114.951852,USA
35.887868,14.475715,MLT
35.890640,14.541151,MLT
27.787970,-81.823472,USA
32.935843,-83.819755,USA
44.511325,11.362339,ITA
28.506947,77.080515,IND
59.933417,30.319577,RUS
53.462150,-3.001209,GBR
65.647154,-20.242902,ISL
63.963161,-22.536683,ISL
64.145527,-21.753568,ISL
55.770534,37.715898,RUS
42.597085,-71.331383,USA
40.749640,-3.031194,ESP
36.697977,-4.482328,ESP
41.002751,39.702855,TUR
40.833181,17.356718,ITA
46.553945,6.568503,CHE
-27.001920,-51.167537,BRA
51.445580,5.494249,NLD
46.481987,11.330168,ITA
46.093151,11.110955,ITA
47.255372,-1.497482,FRA
48.100670,-1.403835,FRA
50.832869,-0.136468,GBR
57.152423,-2.160252,GBR
56.463956,-3.054818,GBR
38.031094,-78.486934,USA
38.951617,-92.330763,USA
38.575209,-92.171607,USA
39.435031,-84.204628,USA
40.739101,-84.107352,USA
41.462568,-82.173603,USA
40.757825,-82.517615,USA
37.952090,-91.770270,USA
35.277452,-93.137152,USA
40.286502,-84.155533,USA
41.234506,-80.818483,USA
34.726221,133.878213,JPN
50.868077,-1.246364,GBR
37.199125,-80.408132,USA
53.161874,-4.253225,GBR
23.023361,72.566875,IND
12.975921,77.587837,IND
9.931233,76.267304,IND
17.383639,78.482911,IND
51.520037,-0.082336,GBR
42.699362,23.316134,BGR
52.396208,4.846016,NLD
52.018376,5.104734,NLD
51.953001,4.447811,NLD
53.292769,-6.415315,IRL
50.127733,8.586545,DEU
54.594673,-5.864940,GBR
54.596110,-5.923436,GBR
52.478856,-1.894233,GBR
33.428337,-112.725673,USA
-20.153252,28.581737,ZWE
